,time,reference,reference_speed,pitch,pitch_speed,error,elevator
0,0.0,2.6064761e-05,0.0025891268,0.0,0.0,2.6064761e-05,-8.238616e-05
1,0.02,0.000102881546,0.0050757173,2.0345894e-08,2.0307489e-06,0.0001028612,-0.0003209338
2,0.04,0.00022843025,0.0074628172,1.3998411e-07,9.917947e-06,0.00022829026,-0.0007011099
3,0.06,0.00040075078,0.009753391,5.10333e-07,2.708346e-05,0.00040024045,-0.0012091759
4,0.08,0.0006179417,0.011950327,1.3474256e-06,5.6567245e-05,0.0006165943,-0.0018321626
5,0.1,0.00087815843,0.014056434,2.924484e-06,0.00010104866,0.00087523396,-0.0025578444
6,0.12,0.0011796119,0.016074447,5.5649148e-06,0.00016286717,0.001174047,-0.0033747146
7,0.14,0.0015205669,0.01800703,9.635713e-06,0.00024404237,0.0015109312,-0.004271959
8,0.16,0.001899341,0.019856777,1.5541253e-05,0.0003462935,0.0018837998,-0.005239431
9,0.18,0.0023143026,0.021626206,2.371748e-05,0.00047105816,0.002290585,-0.00626763
10,0.2,0.0027638704,0.023317778,3.4626453e-05,0.0006195104,0.002729244,-0.00734767
11,0.22,0.0032465109,0.024933878,4.8751248e-05,0.00079257856,0.0031977596,-0.008471264
12,0.24,0.0037607376,0.026476834,6.65912e-05,0.0009909618,0.0036941464,-0.009630689
13,0.26,0.0043051112,0.027948909,8.865753e-05,0.0012151464,0.0042164535,-0.010818778
14,0.28,0.004878236,0.029352304,0.000115469156,0.0014654215,0.004762767,-0.0120288795
15,0.3,0.00547876,0.030689163,0.00014754901,0.0017418943,0.0053312113,-0.013254846
16,0.32,0.006105373,0.031961568,0.00018542047,0.002044504,0.005919953,-0.01449101
17,0.34,0.0067568067,0.033171553,0.00022960413,0.0023730362,0.0065272027,-0.01573216
18,0.36,0.007431832,0.034321085,0.0002806149,0.0027271356,0.007151217,-0.016973516
19,0.38,0.00812926,0.035412088,0.00033895936,0.0031063186,0.0077903,-0.018210715
20,0.4,0.008847938,0.036446426,0.00040513312,0.0035099855,0.008442805,-0.019439785
21,0.42,0.009586751,0.037425913,0.00047961884,0.003937432,0.009107132,-0.020657135
22,0.44,0.01034462,0.03835232,0.00056288415,0.0043878607,0.009781736,-0.02185952
23,0.46,0.011120501,0.03922737,0.00065537996,0.0048603895,0.010465121,-0.023044039
24,0.48,0.011913384,0.040052727,0.0007575386,0.0053540636,0.011155846,-0.02420809
25,0.5,0.012722289,0.040830012,0.00086977286,0.005867864,0.011852516,-0.025349395
26,0.52,0.013546275,0.041560814,0.0009924744,0.006400716,0.012553801,-0.026465943
27,0.54,0.014384423,0.042246662,0.0011260132,0.006951497,0.013258411,-0.02755599
28,0.56,0.015235852,0.04288905,0.0012707362,0.0075190472,0.013965116,-0.028618045
29,0.58,0.016099706,0.04348944,0.0014269667,0.008102174,0.014672739,-0.029650845
30,0.6,0.016975159,0.044049237,0.0015950041,0.008699656,0.015380154,-0.03065334
31,0.62,0.017861415,0.04456981,0.0017751233,0.0093102595,0.016086292,-0.03162471
32,0.64,0.0187577,0.045052495,0.001967574,0.009932734,0.016790127,-0.032564294
33,0.66,0.01966327,0.045498587,0.0021725814,0.010565823,0.017490689,-0.03347163
34,0.68,0.020577408,0.04590935,0.0023903444,0.01120827,0.018187065,-0.034346398
35,0.7,0.021499416,0.046286006,0.0026210381,0.01185882,0.018878378,-0.03518845
36,0.72,0.022428628,0.04662975,0.0028648125,0.012516224,0.019563816,-0.035997767
37,0.74,0.023364395,0.046941727,0.0031217916,0.01317925,0.020242603,-0.036774464
38,0.76,0.02430609,0.047223065,0.003392076,0.013846676,0.020914014,-0.037518766
39,0.78,0.025253117,0.047474854,0.0036757416,0.014517304,0.021577375,-0.03823101
40,0.8,0.026204895,0.04769816,0.0039728405,0.015189954,0.022232056,-0.03891163
41,0.82,0.02716086,0.047894012,0.0042834016,0.015863474,0.022877458,-0.03956114
42,0.84,0.028120479,0.048063394,0.0046074316,0.01653674,0.023513047,-0.04018015
43,0.86,0.02908323,0.048207298,0.0049449136,0.017208654,0.024138317,-0.040769327
44,0.88,0.03004861,0.048326656,0.0052958103,0.017878156,0.0247528,-0.041329402
45,0.9,0.031016137,0.04842238,0.005660063,0.018544218,0.025356075,-0.04186116
46,0.92,0.03198535,0.04849537,0.006037593,0.019205842,0.025947757,-0.042365424
47,0.94,0.032955803,0.048546482,0.0064283023,0.019862074,0.026527502,-0.042843092
48,0.96,0.033927068,0.048576556,0.006832074,0.020512,0.027094994,-0.043295056
49,0.98,0.034898728,0.048586406,0.007248772,0.021154732,0.027649956,-0.04372226
50,1.0,0.035870396,0.048576817,0.0076782447,0.021789433,0.028192151,-0.044125672
