,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc
0,0.0,2.6064761e-05,0.0025891268,0.0,0.0,2.6064761e-05,-8.238616e-05,1.3574962e-10,0.0,-8.238616e-05
1,0.02,0.000102881546,0.0050757173,2.0345894e-08,2.0307489e-06,0.0001028612,-0.00032100346,2.05997e-09,-6.970626e-08,-0.0003209338
2,0.04,0.00022843025,0.0074628172,1.4000132e-07,9.919664e-06,0.00022829024,-0.0007014241,9.831004e-09,-3.1773243e-07,-0.0007011063
3,0.06,0.00040075078,0.009753391,5.1046203e-07,2.70929e-05,0.00040024033,-0.0012099671,2.9241162e-08,-8.1120913e-07,-0.0012091559
4,0.08,0.0006179417,0.011950327,1.3479377e-06,5.6596076e-05,0.0006165938,-0.0018336868,6.713192e-08,-1.5854368e-06,-0.0018321015
5,0.1,0.00087815843,0.014056434,2.9259459e-06,0.00010111472,0.0008752325,-0.002560355,1.3083694e-07,-2.6518405e-06,-0.0025577033
6,0.12,0.0011796119,0.016074447,5.5683104e-06,0.00016299431,0.0011740436,-0.003378446,2.2773716e-07,-4.004474e-06,-0.0033744415
7,0.14,0.0015205669,0.01800703,9.642557e-06,0.00024425998,0.0015109243,-0.0042771134,3.6491224e-07,-5.6252866e-06,-0.0042714877
8,0.16,0.001899341,0.019856777,1.5553698e-05,0.0003466355,0.0018837873,-0.0052461745,5.4887664e-07,-7.488349e-06,-0.005238686
9,0.18,0.0023143026,0.021626206,2.373839e-05,0.00047156215,0.0022905641,-0.0062760864,7.853864e-07,-9.563199e-06,-0.0062665227
10,0.2,0.0027638704,0.023317778,3.4659468e-05,0.00062021654,0.002729211,-0.0073579256,1.0793061e-06,-1.1817439e-05,-0.0073461076
11,0.22,0.0032465109,0.024933878,4.880083e-05,0.00079352845,0.00319771,-0.008483365,1.4345288e-06,-1.4218731e-05,-0.008469146
12,0.24,0.0037607376,0.026476834,6.666265e-05,0.0009921978,0.003694075,-0.009644648,1.8539338e-06,-1.673628e-05,-0.009627911
13,0.26,0.0043051112,0.027948909,8.8756984e-05,0.0012167102,0.0042163543,-0.010834576,2.3393857e-06,-1.9341875e-05,-0.010815234
14,0.28,0.004878236,0.029352304,0.00011560359,0.001467354,0.0047626323,-0.012046474,2.8917548e-06,-2.2010634e-05,-0.012024463
15,0.3,0.00547876,0.030689163,0.00014772618,0.0017442346,0.005331034,-0.013274176,3.510961e-06,-2.4721436e-05,-0.013249454
16,0.32,0.006105373,0.031961568,0.00018564891,0.0020472892,0.0059197242,-0.014511996,4.196037e-06,-2.7457134e-05,-0.014484538
17,0.34,0.0067568067,0.033171553,0.00022989305,0.0023763003,0.0065269135,-0.01575471,4.945203e-06,-3.0204641e-05,-0.015724508
18,0.36,0.007431832,0.034321085,0.00028097426,0.00273091,0.0071508577,-0.01699754,5.755944e-06,-3.295481e-05,-0.016964588
19,0.38,0.00812926,0.035412088,0.00033939956,0.003110632,0.00778986,-0.018236121,6.625106e-06,-3.57023e-05,-0.018200418
20,0.4,0.008847938,0.036446426,0.00040566523,0.0035148636,0.008442272,-0.019466478,7.548971e-06,-3.8445283e-05,-0.019428033
21,0.42,0.009586751,0.037425913,0.00048025444,0.003942897,0.009106497,-0.02068503,8.523367e-06,-4.1185198e-05,-0.020643845
22,0.44,0.01034462,0.03835232,0.00056363514,0.0043939324,0.009780984,-0.021888541,9.543744e-06,-4.392636e-05,-0.021844612
23,0.46,0.011120501,0.03922737,0.00065625866,0.0048670857,0.010464243,-0.02307411,1.0605255e-05,-4.667569e-05,-0.023027435
24,0.48,0.011913384,0.040052727,0.00075855764,0.0053613996,0.011154827,-0.024239168,1.1702857e-05,-4.944229e-05,-0.024189724
25,0.5,0.012722289,0.040830012,0.0008709452,0.005875853,0.011851344,-0.025381435,1.2831366e-05,-5.223714e-05,-0.025329199
26,0.52,0.013546275,0.041560814,0.0009938133,0.0064093694,0.012552462,-0.026498917,1.3985539e-05,-5.5072793e-05,-0.026443845
27,0.54,0.014384423,0.042246662,0.0011275319,0.0069608265,0.013256892,-0.027589893,1.5160146e-05,-5.7963e-05,-0.027531931
28,0.56,0.015235852,0.04288905,0.0012724483,0.0075290618,0.013963404,-0.028652882,1.6350006e-05,-6.0922444e-05,-0.028591959
29,0.58,0.016099706,0.04348944,0.0014288861,0.008112882,0.01467082,-0.02968663,1.7550046e-05,-6.3966494e-05,-0.029622663
30,0.6,0.016975159,0.044049237,0.0015971446,0.00871107,0.015378014,-0.03069012,1.8755376e-05,-6.711091e-05,-0.03062301
31,0.62,0.017861415,0.04456981,0.0017774992,0.009322387,0.016083915,-0.03166253,1.9961297e-05,-7.037166e-05,-0.03159216
32,0.64,0.0187577,0.045052495,0.0019701996,0.009945588,0.016787501,-0.032603227,2.116332e-05,-7.37647e-05,-0.032529462
33,0.66,0.01966327,0.045498587,0.002175471,0.010579415,0.0174878,-0.033511735,2.2357224e-05,-7.73058e-05,-0.03343443
34,0.68,0.020577408,0.04590935,0.0023935137,0.011222612,0.018183894,-0.03438778,2.353909e-05,-8.101047e-05,-0.03430677
35,0.7,0.021499416,0.046286006,0.0026245022,0.011873928,0.018874913,-0.035231207,2.4705265e-05,-8.4893705e-05,-0.03514631
36,0.72,0.022428628,0.04662975,0.0028685862,0.012532115,0.019560043,-0.036042005,2.5852414e-05,-8.896996e-05,-0.035953034
37,0.74,0.023364395,0.046941727,0.0031258913,0.013195943,0.020238504,-0.036820292,2.697751e-05,-9.325308e-05,-0.03672704
38,0.76,0.02430609,0.047223065,0.0033965178,0.013864191,0.020909572,-0.03756632,2.8077868e-05,-9.77562e-05,-0.037468564
39,0.78,0.025253117,0.047474854,0.003680542,0.014535665,0.021572575,-0.038280416,2.9151082e-05,-0.00010249172,-0.038177926
40,0.8,0.026204895,0.04769816,0.0039780173,0.015209186,0.022226878,-0.038963035,3.0195095e-05,-0.00010747123,-0.038855564
41,0.82,0.02716086,0.047894012,0.004288972,0.015883608,0.02287189,-0.039614677,3.1208117e-05,-0.00011270552,-0.039501972
42,0.84,0.028120479,0.048063394,0.004613414,0.016557805,0.023507064,-0.04023595,3.2188684e-05,-0.00011820454,-0.04011775
43,0.86,0.02908323,0.048207298,0.004951327,0.017230688,0.024131902,-0.04082755,3.313562e-05,-0.00012397752,-0.040703572
44,0.88,0.03004861,0.048326656,0.0053026746,0.017901193,0.024745936,-0.04139018,3.4048e-05,-0.00013003276,-0.041260146
45,0.9,0.031016137,0.04842238,0.0056673987,0.018568296,0.025348738,-0.04192464,3.492518e-05,-0.00013637781,-0.041788258
46,0.92,0.03198535,0.04849537,0.006045421,0.019231005,0.025939928,-0.042431753,3.5766745e-05,-0.0001430195,-0.04228873
47,0.94,0.032955803,0.048546482,0.006436645,0.019888368,0.026519157,-0.042912398,3.6572517e-05,-0.00014996389,-0.042762436
48,0.96,0.033927068,0.048576556,0.0068409536,0.020539466,0.027086115,-0.043367486,3.7342557e-05,-0.00015721632,-0.04321027
49,0.98,0.034898728,0.048586406,0.007258214,0.021183426,0.027640514,-0.04379795,1.4812081e-06,-0.0001647815,-0.043633174
50,1.0,0.035870396,0.048576817,0.0076882727,0.021819407,0.028182123,-0.04419682,1.5587273e-06,-0.0001647301,-0.04403209
51,1.02,0.03684168,0.04854856,0.008130963,0.022446413,0.028710715,-0.04457312,1.6375757e-06,-0.00016470658,-0.044408415
52,1.04,0.037812214,0.04850237,0.008586096,0.0230637,0.029226119,-0.04492782,1.7176769e-06,-0.00016471145,-0.04476311
