,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc,predict_pitch,predict_speed,loss_sye,factor
0,0.0,2.6064761e-05,0.0025891268,0.0,0.0,2.6064761e-05,-8.238616e-05,0.0,0.0,-8.238616e-05,0.0,0.0,0.0,0.0
1,0.02,0.000102881546,0.0050757173,2.0345894e-08,2.0307489e-06,0.0001028612,-0.0003209338,0.0,0.0,-0.0003209338,0.0,0.0,0.0,0.0
2,0.04,0.00022843025,0.0074628172,1.3998411e-07,9.917947e-06,0.00022829026,-0.0007011099,0.0,0.0,-0.0007011099,0.0,0.0,0.0,0.0
3,0.06,0.00040075078,0.009753391,5.10333e-07,2.708346e-05,0.00040024045,-0.0012091759,0.0,0.0,-0.0012091759,0.0,0.0,0.0,0.0
4,0.08,0.0006179417,0.011950327,1.3474256e-06,5.6567245e-05,0.0006165943,-0.0018321626,0.0,0.0,-0.0018321626,0.0,0.0,0.0,0.0
5,0.1,0.00087815843,0.014056434,2.924484e-06,0.00010104866,0.00087523396,-0.0025578444,0.0,0.0,-0.0025578444,0.0,0.0,0.0,0.0
6,0.12,0.0011796119,0.016074447,5.5649148e-06,0.00016286717,0.001174047,-0.0033747146,0.0,0.0,-0.0033747146,0.0,0.0,0.0,0.0
7,0.14,0.0015205669,0.01800703,9.635713e-06,0.00024404237,0.0015109312,-0.004271959,0.0,0.0,-0.004271959,0.0,0.0,0.0,0.0
8,0.16,0.001899341,0.019856777,1.5541253e-05,0.0003462935,0.0018837998,-0.005239431,0.0,0.0,-0.005239431,0.0,0.0,0.0,0.0
9,0.18,0.0023143026,0.021626206,2.371748e-05,0.00047105816,0.002290585,-0.00626763,0.0,0.0,-0.00626763,0.0,0.0,0.0,0.0
10,0.2,0.0027638704,0.023317778,3.4626453e-05,0.0006195104,0.002729244,-0.00734767,0.0,0.0,-0.00734767,0.0,0.0,0.0,0.0
11,0.22,0.0032465109,0.024933878,4.8751248e-05,0.00079257856,0.0031977596,-0.008471264,0.0,0.0,-0.008471264,0.0,0.0,0.0,0.0
12,0.24,0.0037607376,0.026476834,6.65912e-05,0.0009909618,0.0036941464,-0.009630689,0.0,0.0,-0.009630689,0.0,0.0,0.0,0.0
13,0.26,0.0043051112,0.027948909,8.865753e-05,0.0012151464,0.0042164535,-0.010818778,0.0,0.0,-0.010818778,0.0,0.0,0.0,0.0
14,0.28,0.004878236,0.029352304,0.000115469156,0.0014654215,0.004762767,-0.0120288795,0.0,0.0,-0.0120288795,0.0,0.0,0.0,0.0
15,0.3,0.00547876,0.030689163,0.00014754901,0.0017418943,0.0053312113,-0.013254846,0.0,0.0,-0.013254846,0.0,0.0,0.0,0.0
16,0.32,0.006105373,0.031961568,0.00018542047,0.002044504,0.005919953,-0.01449101,0.0,0.0,-0.01449101,0.0,0.0,0.0,0.0
17,0.34,0.0067568067,0.033171553,0.00022960413,0.0023730362,0.0065272027,-0.01573216,0.0,0.0,-0.01573216,0.0,0.0,0.0,0.0
18,0.36,0.007431832,0.034321085,0.0002806149,0.0027271356,0.007151217,-0.016973516,0.0,0.0,-0.016973516,0.0,0.0,0.0,0.0
19,0.38,0.00812926,0.035412088,0.00033895936,0.0031063186,0.0077903,-0.018210715,0.0,0.0,-0.018210715,0.0,0.0,0.0,0.0
20,0.4,0.008847938,0.036446426,0.00040513312,0.0035099855,0.008442805,-0.019439785,0.0,0.0,-0.019439785,0.0,0.0,0.0,0.0
21,0.42,0.009586751,0.037425913,0.00047961884,0.003937432,0.009107132,-0.020657135,0.0,0.0,-0.020657135,0.0,0.0,0.0,0.0
22,0.44,0.01034462,0.03835232,0.00056288415,0.0043878607,0.009781736,-0.02185952,0.0,0.0,-0.02185952,0.0,0.0,0.0,0.0
23,0.46,0.011120501,0.03922737,0.00065537996,0.0048603895,0.010465121,-0.023044039,0.0,0.0,-0.023044039,0.0,0.0,0.0,0.0
24,0.48,0.011913384,0.040052727,0.0007575386,0.0053540636,0.011155846,-0.02420809,0.0,0.0,-0.02420809,0.0,0.0,0.0,0.0
25,0.5,0.012722289,0.040830012,0.00086977286,0.005867864,0.011852516,-0.025349395,3.3926958e-07,0.0,-0.025349395,0.0,0.0,1.380749e-07,0.99930984
26,0.52,0.013546275,0.041560814,0.0009924744,0.006400716,0.012553801,-0.026466552,3.9063855e-07,-6.0863266e-07,-0.026465943,2.1685989e-09,1.7596046e-08,1.7163711e-07,0.99914217
27,0.54,0.014384423,0.042246662,0.0011260135,0.006951513,0.01325841,-0.027557192,4.466227e-07,-1.2328615e-06,-0.027555961,5.100324e-09,4.0444103e-08,2.113084e-07,0.99894404
28,0.56,0.015235852,0.04288905,0.0012707369,0.007519092,0.013965116,-0.028619824,5.0728073e-07,-1.8731745e-06,-0.028617952,8.97366e-09,6.949305e-08,2.578263e-07,0.9987117
29,0.58,0.016099706,0.04348944,0.0014269687,0.0081022605,0.014672738,-0.029653182,5.7262787e-07,-2.5301326e-06,-0.029650655,1.3996716e-08,1.0579501e-07,3.1196603e-07,0.9984414
30,0.6,0.016975159,0.044049237,0.0015950087,0.0086998,0.01538015,-0.030656233,6.4263145e-07,-3.2044893e-06,-0.030653032,2.0410027e-08,1.5050715e-07,3.7453654e-07,0.99812907
31,0.62,0.017861415,0.04456981,0.0017751313,0.009310473,0.016086284,-0.03162814,7.172103e-07,-3.8972657e-06,-0.031624243,2.8489337e-08,2.0489243e-07,4.4637613e-07,0.9977706
32,0.64,0.0187577,0.045052495,0.001967587,0.009933028,0.016790114,-0.03256826,7.962348e-07,-4.6097966e-06,-0.03256365,3.854832e-08,2.7031868e-07,5.283468e-07,0.9973618
33,0.66,0.01966327,0.045498587,0.002172601,0.010566211,0.01749067,-0.033476107,8.7952895e-07,-5.343746e-06,-0.033470765,5.0941168e-08,3.4825655e-07,6.2132807e-07,0.9968982
34,0.68,0.020577408,0.04590935,0.0023903728,0.011208763,0.018187035,-0.034351394,9.668742e-07,-6.1011106e-06,-0.03434529,6.606513e-08,4.4027624e-07,7.2621117e-07,0.9963755
35,0.7,0.021499416,0.046286006,0.002621078,0.011859429,0.018878337,-0.03519395,1.0580127e-06,-6.884195e-06,-0.035187066,8.4362824e-08,5.4804264e-07,8.438911e-07,0.9957894
36,0.72,0.022428628,0.04662975,0.0028648656,0.012516961,0.019563762,-0.036003772,1.152653e-06,-7.69559e-06,-0.035996076,1.06324315e-07,6.733093e-07,9.752601e-07,0.99513555
37,0.74,0.023364395,0.046941727,0.0031218608,0.0131801255,0.020242535,-0.036780972,1.2504742e-06,-8.538139e-06,-0.036772434,1.3248916e-07,8.1791165e-07,1.1211996e-06,0.9944097
38,0.76,0.02430609,0.047223065,0.0033921641,0.0138477,0.020913927,-0.037525788,1.3511325e-06,-9.414895e-06,-0.03751637,1.6344794e-07,9.837588e-07,1.2825735e-06,0.99360764
39,0.78,0.025253117,0.047474854,0.0036758517,0.014518487,0.021577265,-0.038238544,1.4542646e-06,-1.0329084e-05,-0.038228214,1.9984373e-07,1.1728246e-06,1.4602199e-06,0.9927255
40,0.8,0.026204895,0.04769816,0.0039729765,0.015191305,0.022231918,-0.03891969,1.559495e-06,-1.1284058e-05,-0.038908407,2.423733e-07,1.3871381e-06,1.6549451e-06,0.9917594
41,0.82,0.02716086,0.047894012,0.0042835665,0.015865006,0.022877295,-0.039569743,1.66644e-06,-1.2283256e-05,-0.03955746,2.9178793e-07,1.6287739e-06,1.8675155e-06,0.9907059
42,0.84,0.028120479,0.048063394,0.0046076286,0.016538458,0.02351285,-0.040189307,1.7747126e-06,-1.3330168e-05,-0.040175974,3.4889393e-07,1.8998414e-06,2.0986529e-06,0.9895616
43,0.86,0.02908323,0.048207298,0.004945147,0.017210573,0.024138082,-0.040779054,1.8839268e-06,-1.44282985e-05,-0.04076463,4.1455337e-07,2.202475e-06,2.3490275e-06,0.98832357
44,0.88,0.03004861,0.048326656,0.005296084,0.017880287,0.024752527,-0.041339718,1.9937017e-06,-1.5581121e-05,-0.04132414,4.896836e-07,2.538822e-06,2.6192522e-06,0.98698914
45,0.9,0.031016137,0.04842238,0.005660382,0.01854657,0.025355756,-0.041872084,2.1036658e-06,-1.6792066e-05,-0.041855294,5.7525756e-07,2.9110342e-06,2.9098799e-06,0.98555595
46,0.92,0.03198535,0.04849537,0.0060379617,0.019208428,0.025947388,-0.042376984,2.2134602e-06,-1.8064475e-05,-0.04235892,6.723028e-07,3.3212561e-06,3.221398e-06,0.984022
47,0.94,0.032955803,0.048546482,0.006428725,0.019864906,0.026527077,-0.042855307,2.3227396e-06,-1.9401601e-05,-0.042835906,7.819019e-07,3.7716172e-06,3.554225e-06,0.9823859
48,0.96,0.033927068,0.048576556,0.0068325554,0.020515086,0.027094513,-0.04330796,2.4311782e-06,-2.0806554e-05,-0.043287154,9.051909e-07,4.264222e-06,3.9087095e-06,0.9806462
49,0.98,0.034898728,0.048586406,0.0072493176,0.02115809,0.02764941,-0.043735877,2.5384682e-06,-2.2282327e-05,-0.043713592,1.0433583e-06,4.8011393e-06,4.285127e-06,0.97880226
50,1.0,0.035870396,0.048576817,0.007678861,0.021793075,0.028191535,-0.04414004,2.6443233e-06,-2.383175e-05,-0.04411621,1.1976446e-06,5.3843983e-06,4.68368e-06,0.97685367
51,1.02,0.03684168,0.04854856,0.0081210155,0.022419244,0.028720664,-0.04452141,2.748481e-06,-2.5457482e-05,-0.044495948,1.3693406e-06,6.0159796e-06,5.1044963e-06,0.97480047
52,1.04,0.037812214,0.04850237,0.008575598,0.023035841,0.029236617,-0.04488097,2.8506965e-06,-2.7162023e-05,-0.044853814,1.5597859e-06,6.6978046e-06,5.547631e-06,0.972643
53,1.06,0.038781658,0.048438977,0.009042411,0.023642147,0.029739246,-0.04521975,2.9507548e-06,-2.8947701e-05,-0.045190807,1.7703683e-06,7.4317377e-06,6.013067e-06,0.97038215
54,1.08,0.039749663,0.04835908,0.0095212385,0.024237486,0.030228425,-0.04553873,3.0484632e-06,-3.0816664e-05,-0.04550791,2.002522e-06,8.219577e-06,6.500713e-06,0.968019
55,1.1,0.040715914,0.04826335,0.010011859,0.02482122,0.030704055,-0.045838933,3.143654e-06,-3.277088e-05,-0.045806166,2.2577256e-06,9.063046e-06,7.0104143e-06,0.96555513
56,1.12,0.041680098,0.048152454,0.010514031,0.025392761,0.031166065,-0.046121355,3.2361822e-06,-3.481215e-05,-0.04608654,2.5375027e-06,9.963799e-06,7.5419443e-06,0.9629924
57,1.14,0.04264192,0.04802702,0.0110275075,0.025951555,0.03161441,-0.046386983,3.3259282e-06,-3.694209e-05,-0.046350036,2.8434172e-06,1.0923411e-05,8.095018e-06,0.9603331
58,1.16,0.043601085,0.04788768,0.011552027,0.026497087,0.032049056,-0.046636783,3.412794e-06,-3.9162154e-05,-0.046597622,3.1770742e-06,1.194338e-05,8.669288e-06,0.9575796
59,1.18,0.044557337,0.047735024,0.01208732,0.027028885,0.032470018,-0.04687176,3.4967034e-06,-4.1473657e-05,-0.046830285,3.5401176e-06,1.30251165e-05,9.264355e-06,0.9547347
60,1.2,0.045510404,0.04756964,0.012633107,0.027546516,0.032877296,-0.04709284,3.5776022e-06,-4.3877724e-05,-0.047048964,3.9342303e-06,1.416996e-05,9.879762e-06,0.9518015
61,1.22,0.04646004,0.04739208,0.013189102,0.028049584,0.03327094,-0.047300976,3.6554568e-06,-4.637535e-05,-0.0472546,4.3611312e-06,1.537916e-05,1.0515011e-05,0.9487831
62,1.24,0.047406007,0.04720291,0.013755008,0.028537737,0.033650998,-0.04749708,3.7302514e-06,-4.8967406e-05,-0.047448114,4.8225743e-06,1.6653888e-05,1.116956e-05,0.94568306
63,1.26,0.04834808,0.047002647,0.014330525,0.029010653,0.034017555,-0.04768204,3.8019882e-06,-5.1654613e-05,-0.047630385,5.320347e-06,1.7995233e-05,1.184283e-05,0.9425049
64,1.28,0.04928604,0.046791803,0.014915344,0.029468048,0.034370698,-0.047856726,3.870686e-06,-5.4437583e-05,-0.047802288,5.8562714e-06,1.9404204e-05,1.2534205e-05,0.93925244
65,1.3,0.050219685,0.046570886,0.015509156,0.029909682,0.03471053,-0.048021995,3.93638e-06,-5.7316818e-05,-0.04796468,6.4321994e-06,2.088173e-05,1.3243047e-05,0.9359294
66,1.32,0.051148813,0.046340365,0.01611164,0.030335331,0.035037175,-0.048178688,3.999116e-06,-6.0292696e-05,-0.048118398,7.0500178e-06,2.2428656e-05,1.3968695e-05,0.93253976
67,1.34,0.052073244,0.046100717,0.016722474,0.030744825,0.03535077,-0.048327547,4.058957e-06,-6.336553e-05,-0.04826418,7.711641e-06,2.404578e-05,1.4710466e-05,0.9290875
68,1.36,0.052992783,0.045852385,0.017341336,0.031138014,0.035651445,-0.04846938,4.1159733e-06,-6.653553e-05,-0.048402846,8.419007e-06,2.5733769e-05,1.5467664e-05,0.9255767
69,1.38,0.05390728,0.045595817,0.017967897,0.031514786,0.03593938,-0.048604902,4.1702483e-06,-6.980287e-05,-0.048535094,9.174096e-06,2.749327e-05,1.623959e-05,0.92201114
70,1.4,0.054816563,0.045331433,0.01860183,0.031875055,0.03621473,-0.048734833,4.221871e-06,-7.3167605e-05,-0.048661664,9.9789e-06,2.9324845e-05,1.7025528e-05,0.91839504
71,1.42,0.055720486,0.04505964,0.0192428,0.03221877,0.036477685,-0.048859827,4.270943e-06,-7.662975e-05,-0.0487832,1.0835453e-05,3.1228974e-05,1.782478e-05,0.9147322
72,1.44,0.056618903,0.044780836,0.01989048,0.032545898,0.036728423,-0.04898057,4.317566e-06,-8.0189304e-05,-0.04890038,1.1745805e-05,3.3206095e-05,1.8636632e-05,0.9110266
73,1.46,0.05751168,0.044495404,0.020544535,0.032856442,0.036967143,-0.04909764,4.361853e-06,-8.384619e-05,-0.049013793,1.271204e-05,3.525657e-05,1.9460398e-05,0.907282
74,1.48,0.058398686,0.04420372,0.021204636,0.033150434,0.03719405,-0.04921164,4.4039175e-06,-8.7600296e-05,-0.049124036,1.3736258e-05,3.7380687e-05,2.0295387e-05,0.90350205
75,1.5,0.05927979,0.043906137,0.02187045,0.03342792,0.03740934,-0.049323115,4.443879e-06,-9.145151e-05,-0.04923166,1.4820591e-05,3.9578706e-05,2.1140928e-05,0.89969033
76,1.52,0.06015489,0.04360301,0.022541652,0.03368898,0.037613235,-0.049432587,4.4818576e-06,-9.539967e-05,-0.049337186,1.5967193e-05,4.18508e-05,2.199637e-05,0.8958504
77,1.54,0.061023876,0.043294676,0.02321791,0.033933707,0.037805967,-0.049540572,4.5179745e-06,-9.9444645e-05,-0.049441125,1.7178247e-05,4.4197113e-05,2.286108e-05,0.8919855
78,1.56,0.06188665,0.042981453,0.023898903,0.034162223,0.037987746,-0.04964751,4.552355e-06,-0.00010358624,-0.049543925,1.8455956e-05,4.6617723e-05,2.3734447e-05,0.88809884
79,1.58,0.06274311,0.042663656,0.024584303,0.034374665,0.03815881,-0.049753852,4.585121e-06,-0.00010782428,-0.049646024,1.9802548e-05,4.9112667e-05,2.4615885e-05,0.8841934
80,1.6,0.063593164,0.042341594,0.02527379,0.034571197,0.03831937,-0.04985997,4.6163964e-06,-0.000112158596,-0.049747813,2.1220274e-05,5.168194e-05,2.5504836e-05,0.88027215
81,1.62,0.06443674,0.04201556,0.025967052,0.034751993,0.038469687,-0.04996626,4.646301e-06,-0.000116589035,-0.049849674,2.27114e-05,5.4325454e-05,2.6400769e-05,0.87633765
82,1.64,0.06527376,0.04168584,0.026663775,0.034917247,0.03860999,-0.050073065,4.6749565e-06,-0.00012111544,-0.04995195,2.4278228e-05,5.7043133e-05,2.7303184e-05,0.8723924
83,1.66,0.06610415,0.041352697,0.027363649,0.035067163,0.0387405,-0.050180707,4.7024796e-06,-0.00012573766,-0.050054967,2.5923075e-05,5.983481e-05,2.8211613e-05,0.8684389
84,1.68,0.06692784,0.041016404,0.02806637,0.035201974,0.038861472,-0.0502895,4.7289864e-06,-0.00013045558,-0.05015905,2.764828e-05,6.270032e-05,2.9125602e-05,0.86447924
85,1.7,0.06774479,0.040677216,0.028771637,0.035321914,0.038973153,-0.05039968,4.7545873e-06,-0.00013526909,-0.050264414,2.9456216e-05,6.5639455e-05,3.0044755e-05,0.8605154
86,1.72,0.06855492,0.040335376,0.029479159,0.03542723,0.039075762,-0.050511487,4.7793933e-06,-0.00014017809,-0.050371308,3.134926e-05,6.865192e-05,3.09687e-05,0.8565492
87,1.74,0.069358185,0.039991125,0.03018864,0.035518195,0.039169542,-0.050625127,4.803507e-06,-0.00014518252,-0.05047995,3.332981e-05,7.173743e-05,3.189708e-05,0.8525824
88,1.76,0.07015455,0.039644692,0.0308998,0.035595078,0.039254747,-0.05074083,4.8270317e-06,-0.0001502824,-0.05059054,3.540029e-05,7.489564e-05,3.282959e-05,0.8486165
89,1.78,0.07094397,0.039296303,0.031612363,0.03565815,0.039331604,-0.050858717,4.8500638e-06,-0.00015547768,-0.05070324,3.7563157e-05,7.8126206e-05,3.3765944e-05,0.8446527
90,1.8,0.0717264,0.038946163,0.032326046,0.03570772,0.03940035,-0.050978966,4.8726956e-06,-0.00016076837,-0.050818194,3.982086e-05,8.142871e-05,3.470589e-05,0.8406924
91,1.82,0.0725018,0.03859448,0.033040594,0.03574408,0.039461207,-0.051101662,4.8950174e-06,-0.00016615452,-0.050935503,4.217589e-05,8.4802734e-05,3.5649213e-05,0.8367365
92,1.84,0.073270164,0.038241457,0.033755735,0.035767533,0.03951443,-0.05122694,4.9171117e-06,-0.00017163622,-0.0510553,4.4630728e-05,8.8247776e-05,3.6595717e-05,0.83278596
93,1.86,0.07403145,0.037887283,0.034471218,0.0357784,0.039560232,-0.051354848,4.939058e-06,-0.00017721356,-0.051177632,4.7187914e-05,9.17634e-05,3.7545236e-05,0.8288416
94,1.88,0.07478564,0.037532136,0.0351868,0.035777,0.03959884,-0.051485486,4.960932e-06,-0.00018288667,-0.051302597,4.9849947e-05,9.534903e-05,3.849763e-05,0.8249041
95,1.9,0.075532734,0.037176203,0.035902232,0.035763647,0.039630502,-0.051618863,4.9828045e-06,-0.00018865571,-0.051430203,5.2619405e-05,9.900414e-05,3.9452792e-05,0.8209739
96,1.92,0.07627269,0.03681965,0.036617283,0.035738673,0.039655406,-0.05175503,5.0047397e-06,-0.00019452091,-0.05156051,5.5498815e-05,0.00010272812,4.041064e-05,0.8170515
97,1.94,0.07700552,0.036462642,0.037331715,0.03570241,0.039673805,-0.051893983,5.0268004e-06,-0.0002004824,-0.0516935,5.849079e-05,0.000106520376,4.13711e-05,0.8131372
98,1.96,0.0777312,0.03610533,0.038045317,0.03565519,0.039685883,-0.052035708,5.049042e-06,-0.00020654047,-0.051829167,6.159788e-05,0.00011038023,4.2334126e-05,0.80923116
99,1.98,0.078449726,0.03574788,0.038757864,0.035597347,0.03969186,-0.052180197,5.0715175e-06,-0.0002126954,-0.051967498,6.4822685e-05,0.00011430705,4.3299697e-05,0.80533373
100,2.0,0.07916111,0.035390425,0.039469153,0.03552922,0.039691955,-0.052327387,5.094275e-06,-0.0002189474,-0.052108437,6.81678e-05,0.00011830008,4.4267807e-05,0.80144495
101,2.02,0.079865344,0.03503311,0.04017898,0.035451137,0.039686363,-0.05247727,5.117357e-06,-0.00022529694,-0.052251976,7.163584e-05,0.00012235862,4.5238467e-05,0.7975647
102,2.04,0.08056244,0.034676068,0.040887147,0.035363436,0.039675295,-0.05262977,5.140803e-06,-0.00023174418,-0.052398022,7.5229436e-05,0.0001264819,4.6211706e-05,0.793693
103,2.06,0.081252396,0.03431943,0.04159347,0.03526646,0.039658926,-0.052784797,5.164649e-06,-0.00023828953,-0.052546505,7.8951176e-05,0.00013066911,4.7187543e-05,0.78982985
104,2.08,0.08193522,0.033963323,0.04229776,0.035160534,0.03963746,-0.05294228,5.188925e-06,-0.00024493336,-0.052697346,8.2803694e-05,0.00013491946,4.8166046e-05,0.78597504
