,time,reference,reference_speed,pitch,pitch_speed,error,elevator,loss_fel,u_fel,u_fbc,predict_pitch,predict_speed,loss_sye,factor
0,0.0,0.00019735334,0.019603971,0.0,0.0,0.00019735334,-0.36242378,0.0,-0.36180001,-0.00062379945,0.0,0.0,0.0,0.0
1,0.02,0.00077898335,0.03843157,8.950333e-05,0.008933438,0.00068948,-0.32973075,0.0,-0.34599468,0.01626397,0.0,0.0,0.0,0.0
2,0.04,0.0017295944,0.05650587,0.00034857306,0.016957434,0.0013810213,-0.30023625,0.0,-0.3308801,0.030643858,0.0,0.0,0.0,0.0
3,0.06,0.003034346,0.0738493,0.00075985986,0.024155889,0.0022744862,-0.2737555,0.0,-0.31643665,0.04268115,0.0,0.0,0.0,0.0
4,0.08,0.0046788403,0.090483725,0.0013076431,0.030607766,0.0033711973,-0.25011042,0.0,-0.30264512,0.05253469,0.0,0.0,0.0,0.0
5,0.1,0.0066491114,0.10643044,0.001977734,0.03638728,0.004671377,-0.22912966,0.0,-0.28948665,0.060356993,0.0,0.0,0.0,0.0
6,0.12,0.008931611,0.12171014,0.0027573823,0.04156405,0.006174228,-0.21064834,0.0,-0.27694267,0.06629431,0.0,0.0,0.0,0.0
7,0.14,0.011513203,0.13634299,0.0036351855,0.04620329,0.007878018,-0.19450824,0.0,-0.26499498,0.07048673,0.0,0.0,0.0,0.0
8,0.16,0.014381151,0.15034862,0.0046010027,0.05036591,0.009780148,-0.18055747,0.0,-0.25362575,0.073068276,0.0,0.0,0.0,0.0
9,0.18,0.017523095,0.16374613,0.005645871,0.054108772,0.011877224,-0.16865051,0.0,-0.2428175,0.074167006,0.0,0.0,0.0,0.0
10,0.2,0.020927066,0.17655413,0.006761924,0.057484772,0.014165143,-0.15864806,0.0,-0.23255317,0.07390513,0.0,0.0,0.0,0.0
11,0.22,0.02458145,0.18879068,0.007942317,0.060543057,0.016639132,-0.15041684,0.0,-0.22281602,0.07239917,0.0,0.0,0.0,0.0
12,0.24,0.028474998,0.20047338,0.009181151,0.06332915,0.019293847,-0.1438296,0.0,-0.21358965,0.06976005,0.0,0.0,0.0,0.0
13,0.26,0.032596808,0.21161944,0.010473405,0.065885134,0.022123404,-0.13876496,0.0,-0.20485814,0.0660932,0.0,0.0,0.0,0.0
14,0.28,0.03693631,0.22224545,0.0118148625,0.06824976,0.025121447,-0.13510711,0.0,-0.19660585,0.061498746,0.0,0.0,0.0,0.0
15,0.3,0.04148327,0.23236768,0.013202054,0.070458665,0.028281214,-0.132746,0.0,-0.18881759,0.056071617,0.0,0.0,0.0,0.0
16,0.32,0.046227764,0.24200189,0.014632192,0.07254447,0.031595573,-0.13157679,0.0,-0.1814785,0.049901694,0.0,0.0,0.0,0.0
17,0.34,0.051160187,0.25116345,0.016103115,0.074536934,0.03505707,-0.13150012,0.0,-0.17457409,0.043073975,0.0,0.0,0.0,0.0
18,0.36,0.056271248,0.25986734,0.017613223,0.07646312,0.038658023,-0.13242158,0.0,-0.16809022,0.035668653,0.0,0.0,0.0,0.0
19,0.38,0.06155193,0.268128,0.019161439,0.0783475,0.042390488,-0.13425185,0.0,-0.16201316,0.027761314,0.0,0.0,0.0,0.0
20,0.4,0.06699351,0.27595964,0.020747142,0.08021211,0.046246372,-0.13690637,0.0,-0.15632948,0.019423109,0.0,0.0,0.0,0.0
21,0.42,0.07258755,0.283376,0.022370141,0.0820767,0.05021741,-0.14030528,0.0,-0.15102611,0.010720835,0.0,0.0,0.0,0.0
22,0.44,0.07832587,0.29039046,0.024030609,0.08395882,0.054295257,-0.14437322,0.0,-0.14609034,0.0017171081,0.0,0.0,0.0,0.0
23,0.46,0.084200576,0.297016,0.02572905,0.08587396,0.058471523,-0.14903925,0.0,-0.14150979,-0.007529465,0.0,0.0,0.0,0.0
24,0.48,0.090204,0.3032653,0.027466265,0.08783571,0.06273773,-0.1542366,0.0,-0.13727246,-0.016964154,0.0,0.0,0.0,0.0
25,0.5,0.096328765,0.30915064,0.029243298,0.08985579,0.06708547,-0.1599026,6.7972414e-06,-0.13336657,-0.026536023,0.0,0.0,8.74372e-05,0.6458513
26,0.52,0.10256769,0.314684,0.031061418,0.091944285,0.07150627,-0.16597842,6.8723116e-06,-0.12978071,-0.0361977,1.4591591e-06,7.734779e-06,9.488886e-05,0.6222307
27,0.54,0.108913854,0.31987703,0.03292208,0.09410962,0.07599177,-0.17240909,6.9838593e-06,-0.12650384,-0.04590523,3.1974278e-06,1.6458054e-05,0.00010258877,0.5987304
28,0.56,0.11536057,0.32474104,0.034826893,0.096358754,0.08053368,-0.17914316,7.1084714e-06,-0.12352517,-0.055617988,5.257648e-06,2.6226815e-05,0.000110494526,0.575525
29,0.58,0.12190137,0.32928693,0.036777586,0.098697275,0.085123785,-0.18613274,7.244117e-06,-0.120834164,-0.06529859,7.685788e-06,3.710981e-05,0.000118590164,0.55269396
30,0.6,0.12853,0.33352548,0.038775984,0.10112946,0.089754015,-0.19333334,7.4045456e-06,-0.1184207,-0.07491264,1.0531444e-05,4.918682e-05,0.00012688033,0.5302527
31,0.62,0.1352404,0.3374671,0.040824,0.1036584,0.09441641,-0.20070338,7.6145643e-06,-0.116274804,-0.084428586,1.3848308e-05,6.254828e-05,0.00013538531,0.50817645
32,0.64,0.14202677,0.34112182,0.04292359,0.106286086,0.09910318,-0.20820455,7.906112e-06,-0.11438684,-0.09381771,1.7694554e-05,7.7294986e-05,0.00014413733,0.48641813
33,0.66,0.14888343,0.34449953,0.045076728,0.10901347,0.103806704,-0.2158015,8.315006e-06,-0.11274751,-0.103054,2.2133272e-05,9.353806e-05,0.00015317713,0.464922
34,0.68,0.15580496,0.34760967,0.04728542,0.111840576,0.10851954,-0.22346151,8.878329e-06,-0.11134768,-0.11211381,2.7232782e-05,0.00011139869,0.00016255173,0.44363254
35,0.7,0.1627861,0.35046163,0.049551647,0.114766605,0.113234445,-0.23115455,9.632331e-06,-0.110178545,-0.120975986,3.3066917e-05,0.00013100788,0.00017231228,0.42250186
36,0.72,0.16982175,0.35306427,0.05187737,0.117789894,0.11794439,-0.2388532,1.0610809e-05,-0.10923154,-0.12962165,3.9715294e-05,0.00015250627,0.00018251255,0.40149397
37,0.74,0.17690708,0.35542646,0.05426451,0.12090815,0.12264257,-0.24653234,1.1843888e-05,-0.108498305,-0.13803402,4.72635e-05,0.00017604369,0.00019320774,0.38058767
38,0.76,0.18403728,0.35755667,0.05671494,0.124118425,0.12732235,-0.25416905,1.3357163e-05,-0.107970744,-0.1461983,5.5803222e-05,0.00020177882,0.00020445365,0.35977796
39,0.78,0.19120784,0.35946313,0.059230465,0.12741716,0.13197738,-0.2617428,1.5171096e-05,-0.10764106,-0.15410174,6.5432316e-05,0.00022987863,0.0002163057,0.33907685
40,0.8,0.19841437,0.3611539,0.061812818,0.1308003,0.13660155,-0.26923496,1.7300721e-05,-0.10750157,-0.16173339,7.6254924e-05,0.00026051808,0.00022881865,0.3185126
41,0.82,0.20565262,0.36263677,0.06446363,0.13426338,0.141189,-0.27662876,1.9755511e-05,-0.10754486,-0.1690839,8.838142e-05,0.0002938795,0.00024204608,0.29812858
42,0.84,0.21291852,0.36391935,0.06718446,0.13780144,0.14573406,-0.28390947,2.2539416e-05,-0.10776381,-0.17614563,0.00010192829,0.00033015196,0.00025604013,0.27798152
43,0.86,0.22020812,0.36500895,0.069976754,0.14140925,0.15023136,-0.29107118,2.5651081e-05,-0.108158775,-0.18291238,0.00011701832,0.00036953078,0.0002708512,0.25813928
44,0.88,0.22751765,0.36591268,0.07284185,0.14508146,0.1546758,-0.29811656,2.908411e-05,-0.10873746,-0.1893791,0.00013378273,0.00041222526,0.00028652773,0.23867829
45,0.9,0.23484345,0.3666375,0.07578099,0.14881279,0.15906246,-0.30501243,3.2827433e-05,-0.109471224,-0.19554122,0.00015236267,0.0004584605,0.00030311645,0.21968023
46,0.92,0.24218202,0.36719015,0.07879529,0.15259717,0.16338673,-0.31175017,3.686572e-05,-0.1103537,-0.20139647,0.0001728914,0.000508424,0.0003206617,0.20122965
47,0.94,0.24952997,0.36757717,0.08188575,0.15642841,0.16764423,-0.31832266,4.11799e-05,-0.111378714,-0.20694397,0.00019551508,0.00056233053,0.00033920567,0.18341053
48,0.96,0.25688404,0.36780488,0.08505324,0.16030015,0.1718308,-0.32472426,4.5747653e-05,-0.11254054,-0.21218371,0.0002203854,0.00062039786,0.00035878812,0.16630355
49,0.98,0.26424116,0.36787945,0.08829851,0.164206,0.17594266,-0.33095047,5.0543924e-05,-0.11383364,-0.21711682,0.0002476594,0.00068284693,0.0003794463,0.14998327
